animal,day,Outcome
2476,D1,1
2476,D1,0
2476,D1,0
2476,D1,1
2476,D1,1
2476,D1,1
2476,D1,0
2476,D1,0
2476,D1,1
2476,D1,0
2476,D1,1
2476,D1,0
2476,D2,1
2476,D2,1
2476,D2,1
2476,D2,1
2476,D2,0
2476,D2,0
2476,D2,1
2476,D2,1
2476,D2,1
2476,D2,1
2476,D2,0
2476,D2,0
2476,D3,1
2476,D3,1
2476,D3,1
2476,D3,1
2476,D3,1
2476,D3,1
2476,D3,1
2476,D3,1
2476,D3,1
2476,D3,1
2476,D3,1
2476,D3,1
2476,D4,1
2476,D4,1
2476,D4,1
2476,D4,1
2476,D4,1
2476,D4,1
2476,D4,1
2476,D4,1
2476,D4,1
2476,D4,1
2476,D4,1
2476,D4,1
2476,D5,1
2476,D5,1
2476,D5,1
2476,D5,1
2476,D5,1
2476,D5,1
2476,D5,1
2476,D5,1
2476,D5,1
2476,D5,1
2476,D5,1
2476,D5,1
2495,D1,0
2495,D1,1
2495,D1,1
2495,D1,1
2495,D1,1
2495,D1,1
2495,D1,1
2495,D1,0
2495,D1,1
2495,D1,1
2495,D1,0
2495,D1,1
2495,D2,1
2495,D2,1
2495,D2,1
2495,D2,1
2495,D2,0
2495,D2,1
2495,D2,0
2495,D2,1
2495,D2,0
2495,D2,0
2495,D2,1
2495,D2,1
2495,D3,1
2495,D3,0
2495,D3,1
2495,D3,1
2495,D3,1
2495,D3,0
2495,D3,1
2495,D3,1
2495,D3,0
2495,D3,0
2495,D3,0
2495,D3,0
2495,D4,0
2495,D4,1
2495,D4,1
2495,D4,0
2495,D4,1
2495,D4,1
2495,D4,0
2495,D4,1
2495,D4,1
2495,D4,0
2495,D4,1
2495,D4,1
2495,D4,0
2495,D4,0
2495,D5,1
2495,D5,1
2495,D5,1
2495,D5,1
2495,D5,0
2495,D5,1
2495,D5,1
2495,D5,0
2495,D5,1
2495,D5,1
2506,D1,1
2506,D1,0
2506,D1,1
2506,D1,1
2506,D1,1
2506,D1,1
2506,D1,1
2506,D1,1
2506,D1,1
2506,D1,1
2506,D1,1
2506,D1,1
2506,D2,0
2506,D2,0
2506,D2,1
2506,D2,1
2506,D2,0
2506,D2,1
2506,D2,1
2506,D2,0
2506,D2,1
2506,D2,1
2506,D2,1
2506,D2,1
2506,D3,1
2506,D3,1
2506,D3,1
2506,D3,1
2506,D3,1
2506,D3,1
2506,D3,0
2506,D3,1
2506,D3,1
2506,D3,1
2506,D3,1
2506,D3,0
2506,D4,1
2506,D4,1
2506,D4,0
2506,D4,0
2506,D4,1
2506,D4,1
2506,D4,0
2506,D4,1
2506,D4,1
2506,D4,0
2506,D4,0
2506,D4,1
2506,D4,1
2506,D4,0
2506,D5,1
2506,D5,1
2506,D5,1
2506,D5,1
2506,D5,0
2506,D5,1
2506,D5,1
2506,D5,0
2506,D5,1
2506,D5,1
2507,D1,0
2507,D1,1
2507,D1,0
2507,D1,1
2507,D1,0
2507,D1,0
2507,D1,0
2507,D1,1
2507,D1,0
2507,D1,1
2507,D1,0
2507,D1,1
2507,D1,1
2507,D1,0
2507,D1,1
2507,D1,1
2507,D1,1
2507,D1,1
2507,D1,1
2507,D1,1
2507,D2,1
2507,D2,1
2507,D2,1
2507,D2,1
2507,D2,0
2507,D2,1
2507,D2,0
2507,D2,1
2507,D2,0
2507,D2,1
2507,D2,1
2507,D2,1
2507,D3,1
2507,D3,1
2507,D3,0
2507,D3,1
2507,D3,1
2507,D3,1
2507,D3,0
2507,D3,1
2507,D3,0
2507,D3,1
2507,D3,1
2507,D3,0
2507,D3,0
2507,D3,1
2507,D4,1
2507,D4,1
2507,D4,1
2507,D4,1
2507,D4,1
2507,D4,1
2507,D4,1
2507,D4,0
2507,D4,1
2507,D4,1
2507,D5,1
2507,D5,1
2507,D5,1
2507,D5,0
2507,D5,1
2507,D5,0
2507,D5,1
2507,D5,1
2507,D5,1
2507,D5,1
2507,D5,1
2507,D5,0
2514,D1,0
2514,D1,1
2514,D1,1
2514,D1,1
2514,D1,1
2514,D1,1
2514,D1,1
2514,D1,1
2514,D1,1
2514,D1,0
2514,D1,1
2514,D1,1
2514,D3,1
2514,D3,1
2514,D3,1
2514,D3,1
2514,D3,0
2514,D3,1
2514,D3,1
2514,D3,1
2514,D3,1
2514,D3,1
2514,D3,1
2514,D3,1
2514,D4,1
2514,D4,1
2514,D4,1
2514,D4,1
2514,D4,0
2514,D4,1
2514,D4,1
2514,D4,1
2514,D4,1
2514,D4,1
2514,D4,1
2514,D4,1
2514,D5,1
2514,D5,1
2514,D5,1
2514,D5,1
2514,D5,1
2514,D5,1
2514,D5,0
2514,D5,1
2514,D5,1
2514,D5,1
2514,D5,1
2514,D5,0
2520,D1,0
2520,D1,0
2520,D1,1
2520,D1,1
2520,D1,1
2520,D1,0
2520,D1,1
2520,D1,1
2520,D1,1
2520,D1,1
2520,D2,1
2520,D2,1
2520,D2,0
2520,D2,1
2520,D2,1
2520,D2,0
2520,D2,1
2520,D2,1
2520,D2,1
2520,D2,1
2520,D3,1
2520,D3,1
2520,D3,1
2520,D3,1
2520,D3,1
2520,D3,0
2520,D3,1
2520,D3,1
2520,D3,1
2520,D3,1
2520,D4,1
2520,D4,1
2520,D4,0
2520,D4,1
2520,D4,1
2520,D4,1
2520,D4,0
2520,D4,1
2520,D4,0
2520,D4,1
2520,D4,0
2520,D4,0
