animal,day,zones,spikes,times
149,1,choice,3,59.7
149,2,choice,9,79.1333333333333
149,3,choice,23,77.7666666666667
149,4,choice,13,53
149,5,choice,13,51.8666666666667
2443,1,choice,27,73.9
2443,2,choice,0,36.3
2443,3,choice,0,25.3
2443,4,choice,0,30.2333333333333
2443,5,choice,0,35.6
2453,1,choice,6,26.1
2453,2,choice,18,42.4
2453,3,choice,1,41.1333333333333
2453,4,choice,6,12.3666666666667
2453,5,choice,25,13.6
2467,1,choice,0,14.2
2467,2,choice,2,12.7666666666667
2467,3,choice,0,12.7333333333333
2467,4,choice,0,12.7666666666667
2467,5,choice,13,12.2666666666667
2454,1,choice,21,25.9
2454,2,choice,9,16.7333333333333
2454,3,choice,23,16.1333333333333
2454,4,choice,10,11.0666666666667
2454,5,choice,36,15.4333333333333
2462,1,choice,1,14.6666666666667
2462,2,choice,0,19.4
2462,3,choice,8,14.4
2462,4,choice,5,20.6333333333333
2462,5,choice,4,23.6333333333333
2486,1,choice,17,9.83333333333333
2486,2,choice,10,8.56666666666667
2486,3,choice,4,10.7666666666667
2486,4,choice,5,21.8666666666667
2486,5,choice,17,24.9
149,1,delay,68,640.866666666667
149,2,delay,42,660.933333333333
149,3,delay,94,641.7
149,4,delay,44,586.766666666667
149,5,delay,50,578.3
2443,1,delay,102,765.066666666667
2443,2,delay,0,581.366666666667
2443,3,delay,13,541.1
2443,4,delay,14,534.233333333333
2443,5,delay,26,557.266666666667
2453,1,delay,271,372.566666666667
2453,2,delay,278,576.7
2453,3,delay,62,588.3
2453,4,delay,67,372.366666666667
2453,5,delay,143,401.666666666667
2467,1,delay,62,437.566666666667
2467,2,delay,122,415.9
2467,3,delay,58,389.966666666667
2467,4,delay,68,383.8
2467,5,delay,117,429.166666666667
2454,1,delay,413,446.266666666667
2454,2,delay,235,487.4
2454,3,delay,531,517.4
2454,4,delay,265,371.433333333333
2454,5,delay,856,442.166666666667
2462,1,delay,45,375.833333333333
2462,2,delay,58,339.866666666667
2462,3,delay,64,346.433333333333
2462,4,delay,103,354.433333333333
2462,5,delay,57,336.666666666667
2486,1,delay,742,383.3
2486,2,delay,492,388.733333333333
2486,3,delay,230,415.133333333333
2486,4,delay,148,380.633333333333
2486,5,delay,212,372.666666666667
149,1,other,12,112.633333333333
149,2,other,9,194.3
149,3,other,37,188.733333333333
149,4,other,16,291
149,5,other,24,221.8
2443,1,other,329,425.666666666667
2443,2,other,31,298.133333333333
2443,3,other,549,324.166666666667
2443,4,other,581,300.433333333333
2443,5,other,508,274.666666666667
2453,1,other,28,226.066666666667
2453,2,other,77,345.233333333333
2453,3,other,171,291.7
2453,4,other,5,108.8
2453,5,other,194,138.9
2467,1,other,14,135.6
2467,2,other,14,150.066666666667
2467,3,other,23,217.9
2467,4,other,11,146.2
2467,5,other,67,162.566666666667
2454,1,other,84,207
2454,2,other,96,222.433333333333
2454,3,other,292,158.2
2454,4,other,141,127.733333333333
2454,5,other,231,102.033333333333
2462,1,other,3,172.9
2462,2,other,10,190.8
2462,3,other,19,198.633333333333
2462,4,other,35,171.833333333333
2462,5,other,14,155.1
2486,1,other,218,117.266666666667
2486,2,other,116,117.5
2486,3,other,82,135.633333333333
2486,4,other,44,135.833333333333
2486,5,other,64,115.4
149,1,reward3,108,199.266666666667
149,2,reward3,103,308.933333333333
149,3,reward3,145,309.9
149,4,reward3,155,278.633333333333
149,5,reward3,120,248.4
2443,1,reward3,34,123.866666666667
2443,2,reward3,0,103.466666666667
2443,3,reward3,45,110
2443,4,reward3,9,108.6
2443,5,reward3,46,94.7
2453,1,reward3,0,69.8333333333333
2453,2,reward3,5,63.6333333333333
2453,3,reward3,6,82.4
2453,4,reward3,5,76.7666666666667
2453,5,reward3,13,69.8
2467,1,reward3,147,104.166666666667
2467,2,reward3,92,159.633333333333
2467,3,reward3,140,223.3
2467,4,reward3,50,120.566666666667
2467,5,reward3,166,211.366666666667
2454,1,reward3,17,46.4333333333333
2454,2,reward3,25,69.9666666666667
2454,3,reward3,122,56.1666666666667
2454,4,reward3,63,64.9
2454,5,reward3,80,92.6666666666667
2462,1,reward3,0,64.8333333333333
2462,2,reward3,9,77.0333333333333
2462,3,reward3,5,76.3666666666667
2462,4,reward3,12,64.4
2462,5,reward3,5,59.9666666666667
2486,1,reward3,83,86.6
2486,2,reward3,13,24.5
2486,3,reward3,11,62.0333333333333
2486,4,reward3,1,40.6
2486,5,reward3,23,54.8333333333333
149,1,reward4,88,137.466666666667
149,2,reward4,47,135.366666666667
149,3,reward4,67,156.033333333333
149,4,reward4,70,179.233333333333
149,5,reward4,65,173.833333333333
2443,1,reward4,813,122.7
2443,2,reward4,22,119.033333333333
2443,3,reward4,277,111.066666666667
2443,4,reward4,335,96.5333333333333
2443,5,reward4,378,104.533333333333
2453,1,reward4,0,27.8333333333333
2453,2,reward4,1,83.9
2453,3,reward4,0,52.6
2453,4,reward4,2,61.0333333333333
2453,5,reward4,4,18.3
2467,1,reward4,115,114.133333333333
2467,2,reward4,44,136.4
2467,3,reward4,26,75.8
2467,4,reward4,41,141.733333333333
2467,5,reward4,109,182.1
2454,1,reward4,19,25.0666666666667
2454,2,reward4,1,2.96666666666667
2454,3,reward4,49,22.7
2454,4,reward4,16,29.8
2454,5,reward4,58,51.5333333333333
2462,1,reward4,0,33.5666666666667
2462,2,reward4,1,9.36666666666667
2462,3,reward4,4,20.5
2462,4,reward4,6,33.9666666666667
2462,5,reward4,1,27.9333333333333
2486,1,reward4,91,50.3666666666667
2486,2,reward4,21,80.9
2486,3,reward4,30,47.4
2486,4,reward4,39,84.9666666666667
2486,5,reward4,25,38.9666666666667
